scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,8050001,8100000,8075703,769,278,11.823,5.1379,0.3942,0.1331,0.0906
Z,8100001,8150000,8126064,920,307,8.1004,5.2369,0.2147,0.0727,0.0386
Z,8150001,8200000,8173896,925,295,2.8189,34.8851,-0.8505,-1.2914,-0.4262
Z,8200001,8250000,8225439,1007,367,12.6489,5.4475,0.3979,0.1257,0.1009
Z,8250001,8300000,8274911,864,301,12.6682,3.2793,0.5887,0.2093,0.105
Z,8300001,8350000,8324458,828,252,4.5195,10.5169,-0.3989,-0.3794,-0.1379
Z,8350001,8400000,8369384,524,157,5.3849,6.2078,-0.071,-0.0388,-0.0228
Z,8400001,8450000,8414762,323,30,0.7144,0.7806,-0.0442,-0.0809,-0.0213
Z,8450001,8500000,8478487,432,88,1.6438,3.0107,-0.2937,-0.0991,-0.0725
Z,8500001,8550000,8526072,737,264,3.3302,14.821,-0.6331,-0.3802,-0.1634
Z,8550001,8600000,8574067,790,288,11.0138,10.0994,0.0433,0.016,0.0092
Z,8600001,8650000,8626198,896,347,8.2666,14.4564,-0.2724,-0.1097,-0.0689
Z,8650001,8700000,8674377,955,403,9.8278,22.1716,-0.3857,-0.2798,-0.1092
Z,8700001,8750000,8724999,794,274,4.2876,31.1672,-0.7581,-1.9693,-0.4503
Z,8750001,8800000,8773744,811,291,7.99,36.909,-0.6441,-0.8034,-0.3113
Z,8800001,8850000,8826635,671,197,12.9327,7.7695,0.2494,0.1222,0.0775
Z,8850001,8900000,8875218,921,314,11.9477,5.7602,0.3494,0.3031,0.0806
Z,8900001,8950000,8926349,900,307,9.9426,3.7968,0.4473,0.1622,0.0906
Z,8950001,9000000,8973895,852,293,12.0402,10.7164,0.0582,0.0319,0.015
Z,9000001,9050000,9023807,1143,492,20.5491,2.9938,0.7457,0.3108,0.1193
Z,9050001,9100000,9072340,799,315,9.1299,3.9216,0.3991,0.1234,0.0475
Z,9100001,9150000,9128272,784,299,5.7913,21.1175,-0.5696,-0.4564,-0.1811
Z,9150001,9200000,9174856,923,256,4.5586,11.2299,-0.4225,-0.1629,-0.0787
Z,9200001,9250000,9223584,768,272,5.1407,11.4607,-0.3807,-0.2324,-0.0698
Z,9250001,9300000,9276730,836,255,5.9639,5.3647,0.0529,0.0253,0.0064
Z,9300001,9350000,9326189,945,279,9.5957,7.1142,0.1485,0.0564,0.0277
Z,9350001,9400000,9374230,827,275,2.0401,4.0586,-0.331,-0.0919,-0.0337
Z,9400001,9450000,9424543,826,248,9.8704,0.0,1.0,0.1977,0.1938
Z,9450001,9500000,9476776,844,250,2.5,10.5833,-0.6178,-0.4103,-0.2271
Z,9500001,9550000,9525194,936,328,15.4181,5.3576,0.4842,0.1474,0.0802
Z,9550001,9600000,9574043,783,274,12.8488,6.5988,0.3214,0.0633,0.0501
Z,9600001,9650000,9626493,746,216,7.4678,4.8891,0.2087,0.0514,0.037
Z,9650001,9700000,9673492,775,183,4.1852,0.8148,0.6741,0.2683,0.0599
Z,9700001,9750000,9724261,681,209,4.576,13.12,-0.4828,-0.7283,-0.1555
Z,9750001,9800000,9777776,630,237,6.528,40.0859,-0.7199,-2.9237,-0.4661
Z,9800001,9850000,9826305,893,302,6.7982,25.3914,-0.5776,-0.4631,-0.1735
Z,9850001,9900000,9874846,705,215,3.8519,1.5648,0.4222,0.0522,0.0291
Z,9900001,9950000,9925296,643,199,13.8125,1.3194,0.8256,0.2352,0.1592
Z,9950001,10000000,9976635,728,297,9.4619,12.3243,-0.1314,-0.0483,-0.0277
Z,10000001,10050000,10021929,871,265,4.3494,6.5363,-0.2009,-0.0536,-0.0287
Z,10050001,10100000,10073780,898,303,3.299,28.4286,-0.792,-0.5884,-0.2782
Z,10100001,10150000,10123283,738,256,14.4259,12.294,0.0798,0.0383,0.0234
Z,10150001,10200000,10176134,613,185,3.3549,8.7299,-0.4448,-0.1631,-0.0741
Z,10200001,10250000,10224636,712,217,8.3952,14.5294,-0.2676,-0.1879,-0.0815
Z,10250001,10300000,10276311,683,212,8.0521,1.0616,0.767,0.3504,0.1001
Z,10300001,10350000,10325047,726,276,3.5597,41.7756,-0.843,-1.9625,-0.5694
Z,10350001,10400000,10375129,671,206,0.2659,23.3561,-0.9775,-5.0692,-0.7956
