scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,7050001,7100000,7075372,576,198,6.3807,1.7109,0.5771,0.2112,0.1506
Z,7100001,7150000,7125015,815,298,3.2674,3.7473,-0.0684,-0.012,-0.0097
Z,7150001,7200000,7173291,644,203,8.8067,3.1064,0.4785,0.2108,0.1038
Z,7200001,7250000,7226349,636,235,39.4995,0.4632,0.9768,0.7482,0.5305
Z,7250001,7300000,7276278,746,314,25.7844,4.2107,0.7192,0.6619,0.4996
Z,7300001,7350000,7325518,747,282,5.091,4.7168,0.0382,0.0092,0.0079
Z,7350001,7400000,7363350,312,98,0.4462,7.0901,-0.8816,-0.527,-0.3274
Z,7400001,7450000,7431437,336,160,0.7108,19.6664,-0.9302,-0.7206,-0.4037
Z,7450001,7500000,7475238,601,211,1.7994,7.8025,-0.6252,-0.1324,-0.1043
Z,7500001,7550000,7525349,570,284,9.7662,4.8519,0.3362,0.2063,0.1371
Z,7550001,7600000,7574853,742,326,21.9478,2.9208,0.7651,0.2796,0.2397
Z,7600001,7650000,7627006,883,357,20.1055,3.2644,0.7206,0.319,0.2112
Z,7650001,7700000,7675572,1033,352,18.8698,5.0744,0.5761,0.2457,0.187
Z,7700001,7750000,7723695,950,356,35.6127,11.2253,0.5207,0.363,0.3142
Z,7750001,7800000,7775867,697,228,19.3083,3.7819,0.6724,0.5555,0.4048
Z,7800001,7850000,7823560,831,249,25.2492,5.8588,0.6233,0.419,0.3077
Z,7850001,7900000,7876106,913,344,11.4486,10.9855,0.0206,0.011,0.0083
Z,7900001,7950000,7923603,760,275,17.2549,7.7609,0.3795,0.284,0.1828
Z,7950001,8000000,7975117,898,334,12.9435,6.0862,0.3603,0.1445,0.1008
Z,8000001,8050000,8024520,792,312,26.4781,11.6525,0.3888,0.1956,0.1603
Z,8050001,8100000,8075703,769,280,9.4905,7.9349,0.0893,0.0447,0.0281
Z,8100001,8150000,8126064,920,315,8.2578,12.022,-0.1856,-0.0842,-0.0559
Z,8150001,8200000,8173896,925,292,33.239,4.8417,0.7457,0.5185,0.402
Z,8200001,8250000,8225439,1007,357,3.5836,3.437,0.0209,0.0044,0.0029
Z,8250001,8300000,8274911,864,296,4.6029,9.035,-0.325,-0.0757,-0.0547
Z,8300001,8350000,8324458,828,252,8.5954,8.2659,0.0195,0.009,0.0067
Z,8350001,8400000,8369384,524,156,3.628,4.3339,-0.0887,-0.0304,-0.0224
Z,8400001,8450000,8414762,323,29,1.1966,1.0273,0.0761,0.067,0.0483
Z,8450001,8500000,8478487,432,82,1.2776,1.1335,0.0598,0.0152,0.012
Z,8500001,8550000,8526072,737,251,8.4928,3.6055,0.404,0.0879,0.0793
Z,8550001,8600000,8574067,790,289,9.3369,4.9992,0.3026,0.063,0.0519
Z,8600001,8650000,8626198,896,347,13.1386,4.1019,0.5242,0.1895,0.1272
Z,8650001,8700000,8674377,955,403,29.3225,6.9248,0.6179,0.2606,0.2193
Z,8700001,8750000,8724999,794,274,34.1305,0.9919,0.9435,0.8557,0.6006
Z,8750001,8800000,8773744,811,291,34.7541,2.758,0.853,0.4586,0.3947
Z,8800001,8850000,8826635,671,197,6.4094,14.6296,-0.3907,-0.2086,-0.1503
Z,8850001,8900000,8875218,921,316,3.1569,8.8047,-0.4722,-0.0997,-0.0773
Z,8900001,8950000,8926349,900,323,2.1174,4.568,-0.3666,-0.0558,-0.0389
Z,8950001,9000000,8973895,852,319,12.2141,1.9807,0.7209,0.1549,0.1274
Z,9000001,9050000,9023807,1143,492,0.8623,12.7861,-0.8736,-0.1073,-0.0836
Z,9050001,9100000,9072340,799,303,4.4439,5.9086,-0.1415,-0.017,-0.0145
Z,9100001,9150000,9128272,784,301,15.5077,7.7172,0.3354,0.107,0.0901
Z,9150001,9200000,9174856,923,261,8.1942,6.4534,0.1188,0.0292,0.0217
Z,9200001,9250000,9223584,768,272,5.2407,9.0131,-0.2647,-0.0484,-0.039
Z,9250001,9300000,9276730,836,252,3.2995,9.7214,-0.4932,-0.0868,-0.0697
Z,9300001,9350000,9326189,945,276,6.7253,5.1111,0.1364,0.0276,0.0199
Z,9350001,9400000,9374230,827,275,5.997,8.3629,-0.1648,-0.0655,-0.0402
Z,9400001,9450000,9424543,826,265,0.0,0.0,nan,0.0,0.0
Z,9450001,9500000,9476776,844,261,7.0787,2.7037,0.4472,0.2703,0.1575
Z,9500001,9550000,9525194,936,352,9.5147,8.7901,0.0396,0.0097,0.0083
Z,9550001,9600000,9574043,783,293,4.6955,7.1445,-0.2068,-0.044,-0.0356
Z,9600001,9650000,9626493,746,240,6.7007,4.6205,0.1837,0.0602,0.0425
Z,9650001,9700000,9673492,775,157,5.3987,15.6834,-0.4878,-0.3269,-0.2081
Z,9700001,9750000,9724261,681,202,23.8252,3.5745,0.7391,0.5875,0.4422
Z,9750001,9800000,9777776,630,237,15.7081,7.2243,0.3699,0.1373,0.1141
Z,9800001,9850000,9826305,893,293,22.1697,3.7129,0.7131,0.2504,0.2206
Z,9850001,9900000,9874846,705,196,15.6254,5.526,0.4775,0.3299,0.2405
